address,is_deleted
"Улица Кабяка, 43",0
"Улица Кабяка, 45",0
"Улица Кабяка, 186",0
"Улица Калиновского, 1",0
"Улица Калиновского, 48",0
"Улица Калиновского, 50",0
"Улица Калиновского, 56",0
"Улица Калиновского, 57",0
"Улица Калиновского, 58",0
"Улица Калиновского, 59",0
"Улица Калиновского, 61",0
"Улица Калиновского, 62",0
"Улица Калиновского, 63",0
"Улица Калиновского, 63 корп. 1",0
"Улица Калиновского, 67",0
"Улица Калиновского, 71",0
"Улица Калиновского, 73",0
"Калючинская улица, 7",0
"Калючинская улица, 9",0
"Калючинская улица, 11",0
"Калючинская улица, 21",0
"Калючинская улица, 23",0
"Улица Карбышева, 3",0
"Улица Карбышева, 21",0
"Улица Карла Маркса, 3",0
"Улица Карла Маркса, 4 / Городничанская улица, 35",0
"Улица Карла Маркса, 5",0
"Улица Карла Маркса, 6",0
"Улица Карла Маркса, 8",0
"Улица Карла Маркса, 12",0
"Улица Карла Маркса, 14",0
"Улица Карла Маркса, 18",0
"Улица Карла Маркса, 20",0
"Улица Карла Маркса, 22",0
"Улица Карла Маркса, 27",0
"Улица Карла Маркса, 28",0
"Улица Карла Маркса, 29 корп. 1",0
"Улица Карла Маркса, 30",0
"Улица Карла Маркса, 32",0
"Улица Карла Маркса, 34",0
"Улица Карла Маркса, 36",0
"Улица Карла Маркса, 36 корп. 1",0
"Улица Кирова, 3",0
"Улица Кирова, 8",0
"Улица Кирова, 11",0
"Улица Кирова, 13",0
"Улица Кирова, 14",0
"Улица Кирова, 30",0
"Улица Кирова, 32",0
"Улица Кирова, 34",0
"Улица Кирова, 36",0
"Улица Кирова, 40",0
"Улица Кирова, 42",0
"Улица Кирова, 45",0
"Кленовая улица, 21",0
"Кленовая улица, 23",0
"Кленовая улица, 25",0
"Кленовая улица, 29",0
"Кленовая улица, 31",0
"Кленовая улица, 33",0
"Кленовая улица, 35",0
"Кленовая улица, 35 корп. 1",0
"Кленовая улица, 37",0
"Проспект Клецкова, 1",0
"Проспект Клецкова, 2",0
"Проспект Клецкова, 3",0
"Проспект Клецкова, 4",0
"Проспект Клецкова, 5",0
"Проспект Клецкова, 5А",0
"Проспект Клецкова, 6",0
"Проспект Клецкова, 7",0
"Проспект Клецкова, 8",0
"Проспект Клецкова, 9",0
"Проспект Клецкова, 10",0
"Проспект Клецкова, 11",0
"Проспект Клецкова, 12",0
"Проспект Клецкова, 13",0
"Проспект Клецкова, 13А",0
"Проспект Клецкова, 13 корп. 1",0
"Проспект Клецкова, 14",0
"Проспект Клецкова, 16",0
"Проспект Клецкова, 17",0
"Проспект Клецкова, 18",0
"Проспект Клецкова, 19",0
"Проспект Клецкова, 20",0
"Проспект Клецкова, 21",0
"Проспект Клецкова, 21А",0
"Проспект Клецкова, 21 корп. 1",0
"Проспект Клецкова, 22",0
"Проспект Клецкова, 23",0
"Проспект Клецкова, 23 корп. 1",0
"Проспект Клецкова, 23 корп. 2",0
"Проспект Клецкова, 24",0
"Проспект Клецкова, 25",0
"Проспект Клецкова, 29",0
"Проспект Клецкова, 30",0
"Проспект Клецкова, 32",0
"Проспект Клецкова, 35",0
"Проспект Клецкова, 36",0
"Проспект Клецкова, 37",0
"Проспект Клецкова, 38",0
"Проспект Клецкова, 39",0
"Проспект Клецкова, 40",0
"Проспект Клецкова, 41",0
"Проспект Клецкова, 42",0
"Проспект Клецкова, 43",0
"Проспект Клецкова, 44",0
"Проспект Клецкова, 46",0
"Проспект Клецкова, 48",0
"Проспект Клецкова, 50",0
"Проспект Клецкова, 52",0
"Проспект Клецкова, 54",0
"Проспект Клецкова, 56",0
"Проспект Клецкова, 58",0
"Проспект Клецкова, 60",0
"Проспект Клецкова, 62",0
"Проспект Клецкова, 66",0
"Проспект Клецкова, 68",0
"Проспект Клецкова, 70",0
"Проспект Клецкова, 72",0
"Проспект Клецкова, 74",0
"Проспект Клецкова, 76",0
"Проспект Клецкова, 78",0
"Проспект Клецкова, 80",0
"Проспект Клецкова, 82",0
"Проспект Клецкова, 84",0
"Проспект Клецкова, 86",0
"Проспект Клецкова, 88",0
"Проспект Клецкова, 90",0
"Проспект Клецкова, 100",0
"Проспект Клецкова, 102",0
"Проспект Клецкова, 104",0
"Проспект Клецкова, 106",0
"Проспект Клецкова, 115",0
"Улица Коложа, 6",0
"Улица Комарова, 30",0
"Улица Комарова, 34",0
"Комсомольская улица, 4",0
"Проспект Космонавтов, 4Б",0
"Проспект Космонавтов, 6",0
"Проспект Космонавтов, 8",0
"Проспект Космонавтов, 10Б",0
"Проспект Космонавтов, 24",0
"Проспект Космонавтов, 31",0
"Проспект Космонавтов, 33",0
"Проспект Космонавтов, 34А",0
"Проспект Космонавтов, 36 корп. 1",0
"Проспект Космонавтов, 36 корп. 2",0
"Проспект Космонавтов, 37Б",0
"Проспект Космонавтов, 38А",0
"Проспект Космонавтов, 38Б",0
"Проспект Космонавтов, 39Б",0
"Проспект Космонавтов, 50",0
"Проспект Космонавтов, 64",0
"Проспект Космонавтов, 66",0
"Проспект Космонавтов, 81",0
"Улица Костюшко, 2",0
"Улица Костюшко, 2А",0
"Улица Костюшко, 6",0
"Улица Кохановского, 15",0
"Улица Кохановского, 17",0
"Улица Кохановского, 19",0
"Красноармейская улица, 3",0
"Красноармейская улица, 7А",0
"Красноармейская улица, 69",0
"Красноармейская улица, 71",0
"Красноармейская улица, 81",0
"Улица Кремко, 3",0
"Улица Кремко, 7",0
"Улица Кремко, 9",0
"Улица Кремко, 11",0
"Улица Кремко, 12",0
"Улица Кремко, 12А",0
"Улица Кремко, 13",0
"Улица Кремко, 14",0
"Улица Кремко, 14А",0
"Улица Кремко, 15",0
"Улица Кремко, 16",0
"Улица Кремко, 17",0
"Улица Кремко, 17А",0
"Улица Кремко, 19",0
"Улица Кремко, 19А",0
"Улица Кремко, 23",0
"Улица Кремко, 25",0
"Улица Кремко, 27",0
"Улица Кремко, 27А",0
"Улица Кремко, 29",0
"Купальский переулок, 1",0
"Улица Курчатова, 1А",0
"Улица Курчатова, 7",0
"Улица Курчатова, 10",0
"Улица Курчатова, 19",0
"Улица Курчатова, 22",0
"Улица Курчатова, 24",0
"Улица Курчатова, 27",0
"Улица Курчатова, 29",0
"Улица Курчатова, 30",0
"Улица Курчатова, 32",0
"Улица Курчатова, 34 корп. 1",0
"Улица Курчатова, 34 корп. 3",0
"Улица Курчатова, 34 корп. 4",0
"Улица Курчатова, 36 корп. 4",0
"Улица Курчатова, 38",0
"Улица Курчатова, 41",0
"Улица Курчатова, 42",0
"Улица Курчатова, 43",0
"Улица Курчатова, 44",0
"Левонабережная улица, 23",0
"Левонабережная улица, 24",0
"Левонабережная улица, 29",0
"Улица Лелевеля, 22",0
"Площадь Ленина, 2",0
"Улица Ленина, 6",0
"Улица Ленина, 9",0
"Улица Ленина, 13",0
"Улица Ленина, 22",0
"Улица Ленина, 23",0
"Улица Ленина, 26",0
"Улица Ленина, 30",0
"Улица Ленина, 32",0
Бульвар Ленинского Комсомола,0
"Бульвар Ленинского Комсомола, 4",0
"Бульвар Ленинского Комсомола, 8",0
"Бульвар Ленинского Комсомола, 10",0
"Бульвар Ленинского Комсомола, 14",0
"Бульвар Ленинского Комсомола, 18",0
"Бульвар Ленинского Комсомола, 20",0
"Бульвар Ленинского Комсомола, 21",0
"Бульвар Ленинского Комсомола, 24",0
"Бульвар Ленинского Комсомола, 25",0
"Бульвар Ленинского Комсомола, 29",0
"Бульвар Ленинского Комсомола, 30",0
"Бульвар Ленинского Комсомола, 31",0
"Бульвар Ленинского Комсомола, 32",0
"Бульвар Ленинского Комсомола, 32 корп. 1",0
"Бульвар Ленинского Комсомола, 34",0
"Бульвар Ленинского Комсомола, 34 корп. 1",0
"Бульвар Ленинского Комсомола, 36",0
"Бульвар Ленинского Комсомола, 36А",0
"Бульвар Ленинского Комсомола, 37",0
"Бульвар Ленинского Комсомола, 40",0
"Бульвар Ленинского Комсомола, 40А",0
"Бульвар Ленинского Комсомола, 41",0
"Бульвар Ленинского Комсомола, 42",0
"Бульвар Ленинского Комсомола, 42А",0
"Бульвар Ленинского Комсомола, 44А",0
"Бульвар Ленинского Комсомола, 44Б",0
"Бульвар Ленинского Комсомола, 45",0
"Бульвар Ленинского Комсомола, 46",0
"Бульвар Ленинского Комсомола, 49",0
"Бульвар Ленинского Комсомола, 52 корп. 1",0
"Бульвар Ленинского Комсомола, 53",0
"Улица Лермонтова, 8",0
"Лидская улица, 1",0
"Лидская улица, 3",0
"Лидская улица, 3А",0
"Лидская улица, 19",0
"Лидская улица, 33",0
"Лидская улица, 33А",0
"Лидская улица, 33Б",0
"Лидская улица, 35",0
"Лидская улица, 35А",0
"Лидская улица, 37",0
"Лидская улица, 42",0
"Лидская улица, 42А",0
"Улица Лизы Чайкиной, 10",0
"Улица Лизы Чайкиной, 14",0
"Улица Лизы Чайкиной, 16",0
"Улица Лизы Чайкиной, 18",0
"Улица Лизы Чайкиной, 20",0
"Улица Лизы Чайкиной, 22",0
"Улица Лизы Чайкиной, 24",0
"Улица Лизы Чайкиной, 29",0
"Улица Лизы Чайкиной, 31",0
"Улица Лизы Чайкиной, 33",0
"Улица Лизы Чайкиной, 41",0
"Улица Лизы Чайкиной, 45",0
"Улица Лизы Чайкиной, 51",0
"Улица Лиможа, 1 корп. 4",0
"Улица Лиможа, 3",0
"Улица Лиможа, 5",0
"Улица Лиможа, 8",0
"Улица Лиможа, 11",0
"Улица Лиможа, 12",0
"Улица Лиможа, 13 корп. 1",0
"Улица Лиможа, 15 корп. 1",0
"Улица Лиможа, 15 корп. 2",0
"Улица Лиможа, 17 корп. 1",0
"Улица Лиможа, 17 корп. 2",0
"Улица Лиможа, 17 корп. 3",0
"Улица Лиможа, 18",0
"Улица Лиможа, 20",0
"Улица Лиможа, 21",0
"Улица Лиможа, 22",0
"Улица Лиможа, 23",0
"Улица Лиможа, 23А",0
"Улица Лиможа, 24",0
"Улица Лиможа, 25",0
"Улица Лиможа, 26",0
"Улица Лиможа, 27/1",0
"Улица Лиможа, 27 корп. 2",0
"Улица Лиможа, 27 корп. 3",0
"Улица Лиможа, 28",0
"Улица Лиможа, 28А",0
"Улица Лиможа, 30",0
"Улица Лиможа, 32Б",0
"Улица Лиможа, 34",0
"Улица Лиможа, 36",0
"Улица Лиможа, 38",0
"Улица Лиможа, 39",0
"Улица Лиможа, 44",0
"Улица Лиможа, 45 корп. 1",0
"Улица Лиможа, 45 корп. 2",0
"Улица Лиможа, 46",0
"Улица Лиможа, 48",0
"Улица Лиможа, 48/1",0
"Улица Лиможа, 48/2",0
"Улица Лиможа, 50",0
"Улица Лиможа, 51",0
"Магистральная улица, 12А",0
"Магистральная улица, 14",0
"Магистральная улица, 16",0
"Магистральная улица, 18",0
"Магистральная улица, 20",0
"Магистральная улица, 24",0
"Магистральная улица, 26",0
"Улица Максима Горького, 6",0
"Улица Максима Горького, 47",0
"Улица Максима Горького, 53",0
"Улица Максима Горького, 61",0
"Улица Максима Горького, 64",0
"Улица Максима Горького, 71А",0
"Улица Максима Горького, 75",0
"Улица Максима Горького, 80",0
"Улица Максима Горького, 87Б",0
"Улица Максима Горького, 89",0
"Улица Максима Горького, 91",0
"Малая Троицкая улица, 5",0
"Малая Троицкая улица, 7",0
"Малыщинская улица, 2",0
"Малыщинская улица, 2А",0
"Малыщинская улица, 10",0
"Малыщинская улица, 10А",0
"Малыщинская улица, 12",0
"Малыщинская улица, 27",0
"Малыщинская улица, 27А",0
"Малыщинская улица, 31",0
"Малыщинская улица, 33",0
"Малыщинская улица, 39",0
"Малыщинская улица, 41",0
"Малыщинская улица, 43",0
"Переулок Менделеева, 6",0
"Улица Менделеева, 37",0
"Улица Менделеева, 39",0
"Улица Мира, 2",0
"Улица Мира, 4",0
"Улица Мира, 5",0
"Улица Мира, 6",0
"Улица Мира, 8",0
"Улица Мира, 12",0
"Улица Мира, 15",0
"Улица Митрополита Филарета, 25",0
"Улица Михася Василька, 10",0
"Улица Михася Василька, 10 корп. 1",0
"Улица Михася Василька, 12",0
"Улица Михася Василька, 14",0
"Улица Михася Василька, 23",0
"Улица Мицкевича, 1",0
"Улица Мицкевича, 2",0
"Улица Мицкевича, 4",0
"Улица Мицкевича, 6",0
"Улица Мицкевича, 7",0
"Улица Мицкевича, 9",0
"Улица Мицкевича, 12",0
"Улица Мицкевича, 14",0
"Улица Мицкевича, 16",0
"Улица Мицкевича, 20",0
"Молодёжная улица, 3",0
"Мостовая улица, 29",0
"Мостовая улица, 33",0
"Мостовая улица, 35",0
"Мостовая улица, 37",0
"Мостовая улица, 39",0
"Мостовая улица, 41",0
"Улица Найдуса, 1",0
"Улица Наполеона Орды, 1",0
"Улица Наполеона Орды, 1А",0
"Улица Наполеона Орды, 2",0
"Улица Наполеона Орды, 4",0
"Улица Наполеона Орды, 4А",0
"Улица Наполеона Орды, 5",0
"Улица Наполеона Орды, 6",0
"Улица Наполеона Орды, 8",0
"Улица Наполеона Орды, 8А",0
"Улица Наполеона Орды, 9",0
"Улица Наполеона Орды, 10",0
"Улица Наполеона Орды, 12",0
"Улица Наполеона Орды, 14",0
"Улица Наполеона Орды, 14А",0
"Улица Наполеона Орды, 19",0
"Улица Наполеона Орды, 21",0
"Улица Наполеона Орды, 24",0
"Улица Огинского, 1",0
"Улица Огинского, 3",0
"Улица Огинского, 3А",0
"Улица Огинского, 5",0
"Улица Огинского, 7",0
"Улица Огинского, 9",0
"Улица Огинского, 11",0
"Улица Огинского, 15",0
